,type,amount_total,amount_k,seq_len,mem,flops,time,type_full,level
0,softmax,0.0,0.0,197,3339264,0.04395,0.12778399999999998,softmax_0.0_0.0,block
1,fiak,0.7,0.2,197,2902016,0.034239,0.10584500000000001,fiak_0.7_0.2,block
2,fiak,0.7,0.0,197,2904576,0.038732,0.12011300000000001,fiak_0.7_0.0,block
3,gmm,0.0,0.3,197,3150336,0.034987,0.11893,gmm_0.0_0.3,block
4,softmax,0.0,0.0,785,13481472,0.35236799999999996,1.414554,softmax_0.0_0.0,block
5,fiak,0.7,0.2,785,6575616,0.23428000000000002,1.120048,fiak_0.7_0.2,block
6,fiak,0.7,0.0,785,6573056,0.269488,1.317397,fiak_0.7_0.0,block
7,gmm,0.0,0.3,785,10516992,0.263848,1.062284,gmm_0.0_0.3,block
8,softmax,0.0,0.0,3137,164686848,4.241497,8.031601,softmax_0.0_0.0,block
9,fiak,0.7,0.2,3137,55468544,2.493949,4.422917,fiak_0.7_0.2,block
10,fiak,0.7,0.0,3137,55468544,2.918997,7.499453,fiak_0.7_0.0,block
11,gmm,0.0,0.3,3137,118383104,3.037175,3.0211740000000002,gmm_0.0_0.3,block
12,softmax,0.0,0.0,785,305539584,7.054422336,1.0,softmax_0.0_0.0,model
13,softmax,0.0,0.0,197,83572736,1.258395264,1.0,softmax_0.0_0.0,model
14,softmax,0.0,0.0,3137,3852649472,62.104014144,1.0,softmax_0.0_0.0,model
15,fiak,0.7,0.0,785,140464640,6.059862336,1.0,fiak_0.7_0.0,model
16,fiak,0.7,0.0,197,73338880,1.195773264,1.0,fiak_0.7_0.0,model
17,fiak,0.7,0.0,3137,1231410176,46.234014144,1.0,fiak_0.7_0.0,model
18,fiak,0.7,0.2,785,140472320,5.637362304,1.0,fiak_0.7_0.2,model
19,fiak,0.7,0.2,197,73277440,1.141856304,1.0,fiak_0.7_0.2,model
20,fiak,0.7,0.2,3137,1232313856,41.133436992,1.0,fiak_0.7_0.2,model
21,gmm,0.0,0.3,785,236467200,5.9921856,1.0,gmm_0.0_0.3,model
22,gmm,0.0,0.3,197,79038464,1.1508378240000001,1.0,gmm_0.0_0.3,model
23,gmm,0.0,0.3,3137,2741359616,47.652148416,1.0,gmm_0.0_0.3,model
