### memory
	type	amount_total	amount_k	seq_len	mem
0	softmax	0.0	0.0	197	3339264
1	fiak	0.7	0.2	197	2902016
2	fiak	0.7	0.0	197	2904576
3	gmm	0.0	0.3	197	3150336
4	softmax	0.0	0.0	785	13481472
5	fiak	0.7	0.2	785	6575616
6	fiak	0.7	0.0	785	6573056
7	gmm	0.0	0.3	785	10516992
8	softmax	0.0	0.0	3137	164686848
9	fiak	0.7	0.2	3137	55468544
10	fiak	0.7	0.0	3137	55468544
11	gmm	0.0	0.3	3137	118383104

###Flops
	type	amount_total	amount_k	seq_len	flops
0	softmax	0.0	0.0	197	0.043950
1	fiak	0.7	0.2	197	0.034239
2	fiak	0.7	0.0	197	0.038732
3	gmm	0.0	0.3	197	0.034987
4	softmax	0.0	0.0	785	0.352368
5	fiak	0.7	0.2	785	0.234280
6	fiak	0.7	0.0	785	0.269488
7	gmm	0.0	0.3	785	0.263848
8	softmax	0.0	0.0	3137	4.241497
9	fiak	0.7	0.2	3137	2.493949
10	fiak	0.7	0.0	3137	2.918997
11	gmm	0.0	0.3	3137	3.037175


### realtime
	type	amount_total	amount_k	seq_len	time
0	softmax	0.0	0.0	197	0.127784
1	fiak	0.7	0.2	197	0.105845
2	fiak	0.7	0.0	197	0.120113
3	gmm	0.0	0.3	197	0.118930
4	softmax	0.0	0.0	785	1.414554
5	fiak	0.7	0.2	785	1.120048
6	fiak	0.7	0.0	785	1.317397
7	gmm	0.0	0.3	785	1.062284
8	softmax	0.0	0.0	3137	18.031601
9	fiak	0.7	0.2	3137	14.422917
10	fiak	0.7	0.0	3137	17.499453
11	gmm	0.0	0.3	3137	13.021174
