,type,amount_total,amount_k,seq_len,mem,flops,time,type_full,level
0,fiak,0.7,0.2,197,0.8690585709904937,0.7790443686006825,0.8283118387278534,fiak_0.7_0.2,block
1,fiak,0.7,0.0,197,0.8698252069917203,0.8812741751990899,0.9399690102047207,fiak_0.7_0.0,block
2,gmm,0.0,0.3,197,0.9434222631094756,0.7960637087599544,0.9307112001502537,gmm_0.0_0.3,block
3,fiak,0.7,0.2,785,0.48775207929816566,0.6648730872269901,0.7918029286969602,fiak_0.7_0.2,block
4,fiak,0.7,0.0,785,0.48756218905472637,0.7647913544930302,0.9313161604293649,fiak_0.7_0.0,block
5,gmm,0.0,0.3,785,0.7801070980972997,0.7487853607592064,0.7509674427416698,gmm_0.0_0.3,block
6,fiak,0.7,0.2,3137,0.3368122268027135,0.5879879203026668,0.550689333297309,fiak_0.7_0.2,block
7,fiak,0.7,0.0,3137,0.3368122268027135,0.6881997087349113,0.9337432225530128,fiak_0.7_0.0,block
8,gmm,0.0,0.3,3137,0.7188376329845113,0.7160620413028702,0.376160867553057,gmm_0.0_0.3,block
9,fiak,0.7,0.0,785,0.4597264883361234,0.8590160961976179,1.0,fiak_0.7_0.0,model
10,fiak,0.7,0.0,197,0.877545519151126,0.9502366213609653,1.0,fiak_0.7_0.0,model
11,fiak,0.7,0.0,3137,0.31962683990577173,0.7444609624878292,1.0,fiak_0.7_0.0,model
12,fiak,0.7,0.2,785,0.459751624195443,0.7991245824950847,1.0,fiak_0.7_0.2,model
13,fiak,0.7,0.2,197,0.8768103511652413,0.9073908148465505,1.0,fiak_0.7_0.2,model
14,fiak,0.7,0.2,3137,0.31986140056501877,0.6623313735666794,1.0,fiak_0.7_0.2,model
15,gmm,0.0,0.3,785,0.7739331084511786,0.8494225770153833,1.0,gmm_0.0_0.3,model
16,gmm,0.0,0.3,197,0.9457446026417037,0.914528095363207,1.0,gmm_0.0_0.3,model
17,gmm,0.0,0.3,3137,0.7115517868737995,0.7672957871210935,1.0,gmm_0.0_0.3,model
