,window_size,gmm,amount_total,amount_k,mem,flops,seq_len,type,type_full,level
0,7,0,0.0,0.0,2754636800.0,99.420139776,49,softmax,softmax_0.0_0.0,model
1,14,0,0.0,0.0,4022675456.0,109.853536512,196,softmax,softmax_0.0_0.0,model
2,21,0,0.0,0.0,6321099776.0,132.32977536,441,softmax,softmax_0.0_0.0,model
3,7,1,0.0,0.0,3241705984.0,99.519714048,49,gmm,gmm_0.0_0.0,model
4,14,1,0.0,0.0,5136503296.0,110.26289740799999,196,gmm,gmm_0.0_0.0,model
5,21,1,0.0,0.0,8569712640.0,133.300624512,441,gmm,gmm_0.0_0.0,model
6,7,1,0.6,0.0,2860413952.0,98.517874944,49,gmm,gmm_0.6_0.0,model
7,14,1,0.6,0.0,4004809216.0,106.108719744,196,gmm,gmm_0.6_0.0,model
8,21,1,0.6,0.0,6073112576.0,123.420418176,441,gmm,gmm_0.6_0.0,model
9,7,1,0.7,0.0,2788066304.0,98.345144064,49,gmm,gmm_0.7_0.0,model
10,14,1,0.7,0.0,3806908416.0,105.398603904,196,gmm,gmm_0.7_0.0,model
11,21,1,0.7,0.0,5658173440.0,121.77371712,441,gmm,gmm_0.7_0.0,model
12,7,1,0.7,0.2,2814810624.0,95.092121856,49,gmm,gmm_0.7_0.2,model
13,14,1,0.7,0.2,3690454528.0,100.827167808,196,gmm,gmm_0.7_0.2,model
14,21,1,0.7,0.2,5318606336.0,114.93225216,441,gmm,gmm_0.7_0.2,model
15,7,1,0.7,0.4,2701555712.0,91.451018496,49,gmm,gmm_0.7_0.4,model
16,14,1,0.7,0.4,3459694080.0,96.236167296,196,gmm,gmm_0.7_0.4,model
17,21,1,0.7,0.4,4850283008.0,108.092654208,441,gmm,gmm_0.7_0.4,model
