
,window_size,gmm,prune_amount,prune_amount_k,mem,flops
0,7,0,0.0,0.0,2754636800.0,99.420139776
1,14,0,0.0,0.0,4022675456.0,109.853536512
2,21,0,0.0,0.0,6321099776.0,132.32977536
3,7,1,0.0,0.0,3241705984.0,99.519714048
4,14,1,0.0,0.0,5136503296.0,110.262897408
5,21,1,0.0,0.0,8569712640.0,133.300624512
6,7,1,0.6,0.0,2860413952.0,98.517874944
7,14,1,0.6,0.0,4004809216.0,106.108719744
8,21,1,0.6,0.0,6073112576.0,123.420418176
9,7,1,0.7,0.0,2788066304.0,98.345144064
10,14,1,0.7,0.0,3806908416.0,105.398603904
11,21,1,0.7,0.0,5658173440.0,121.77371712
12,7,1,0.7,0.2,2814810624.0,95.092121856
13,14,1,0.7,0.2,3690454528.0,100.827167808
14,21,1,0.7,0.2,5318606336.0,114.93225216
15,7,1,0.7,0.4,2701555712.0,91.451018496
16,14,1,0.7,0.4,3459694080.0,96.236167296
17,21,1,0.7,0.4,4850283008.0,108.092654208
